snapshot_utc,league_id,roster_id,owner_id,owner_display_name,team_name,is_my_roster,players_count,starters_count,reserve,taxi,co_owners,settings,metadata
2026-09-15T23:59:18+00:00,1370453762442797056,8,1128436496693874688,Saxis,Joe Burr-itos,False,15,9,[],[],[],"{""draft_position"": 17, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 17, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 2, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,9,609154836893601792,Stutterboyzzzz,,False,15,9,[],[],[],"{""draft_position"": 12, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 12, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 7, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,10,1264073315803217920,joshwat,,False,0,9,[],[],[],"{""draft_position"": 14, ""eliminated"": 1, ""fpts"": 0, ""fpts_decimal"": 0, ""locked"": 1, ""losses"": 0, ""tiebreaker_rank"": 14, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 5, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,11,997348618057125888,JoeShiestysSock,,False,15,9,[],[],[],"{""draft_position"": 7, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 7, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 12, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,12,997317930117337088,burmanseth,Stefon Diggsin iybt,False,15,9,"[""4950"", ""5859""]",[],[],"{""draft_position"": 18, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 18, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 1, ""wins"": 0}","{""allow_pn_inactive_starters"": ""off"", ""allow_pn_player_injury_status"": ""off"", ""allow_pn_scoring"": ""off"", ""restrict_pn_scoring_starters_only"": ""on""}"
2026-09-15T23:59:18+00:00,1370453762442797056,13,860386640982589440,taybasco,Beat me if gay,False,16,9,"[""12484""]",[],[],"{""draft_position"": 8, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 8, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 11, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,14,1265369037945184256,jared3942,,False,15,9,[],[],[],"{""draft_position"": 16, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 16, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 3, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,15,1127380007921328128,ArogersAchilles,TeamSkatteboHeadbutt,False,15,9,[],[],[],"{""draft_position"": 3, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 3, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 16, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,16,1135263834127753216,ReturnOfTheGhost,,False,15,9,"[""4137""]",[],[],"{""draft_position"": 11, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 11, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 8, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,17,996120627872493568,Felici42,Jesus is God Amen!,False,15,9,[],[],[],"{""draft_position"": 1, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 1, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 18, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,18,1266474061580480512,tylercatlett1,,False,15,9,[],[],[],"{""draft_position"": 4, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 4, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 15, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370218620990263296,1,978483609717858304,extraguacam,Sauron’s Commisioner,False,32,10,"[""11604"", ""13281"", ""13392""]","[""13275"", ""13303"", ""13394"", ""13400"", ""13423""]",[],"{""fpts"": 95, ""fpts_against"": 154, ""fpts_against_decimal"": 96, ""fpts_decimal"": 10, ""losses"": 1, ""ppts"": 108, ""ppts_decimal"": 50, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 9, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1370218620990263296,2,1241276722213564416,Brandopoly,,False,31,10,"[""13355""]",[],[],"{""fpts"": 159, ""fpts_against"": 153, ""fpts_against_decimal"": 40, ""fpts_decimal"": 80, ""losses"": 0, ""ppts"": 194, ""ppts_decimal"": 20, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 3, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1370218620990263296,3,779583277362245632,Blatzzy,Nazgûl Nation,True,32,10,"[""4950"", ""9481"", ""9502""]","[""12497"", ""12544"", ""13276"", ""13342"", ""13353""]",[],"{""fpts"": 156, ""fpts_against"": 171, ""fpts_against_decimal"": 10, ""fpts_decimal"": 46, ""losses"": 1, ""ppts"": 178, ""ppts_decimal"": 96, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 8, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1370218620990263296,4,458310882858889216,RoboJVB,,False,31,10,"[""13964"", ""8800""]","[""13302"", ""13306"", ""13322"", ""13347"", ""13401""]",[],"{""fpts"": 125, ""fpts_against"": 149, ""fpts_against_decimal"": 24, ""fpts_decimal"": 36, ""losses"": 1, ""ppts"": 158, ""ppts_decimal"": 64, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 6, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1370218620990263296,5,1369507540269809664,AltoidGG,Average at Best,False,28,10,"[""12531"", ""9753""]","[""13335"", ""13405""]",[],"{""fpts"": 196, ""fpts_against"": 164, ""fpts_against_decimal"": 26, ""fpts_decimal"": 2, ""losses"": 0, ""ppts"": 201, ""ppts_decimal"": 32, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 12, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1370218620990263296,6,998103180779155456,scarberryt,,False,30,10,"[""13349""]","[""12510"", ""13289"", ""13300"", ""13314"", ""13420""]",[],"{""fpts"": 114, ""fpts_against"": 153, ""fpts_against_decimal"": 50, ""fpts_decimal"": 28, ""losses"": 1, ""ppts"": 149, ""ppts_decimal"": 60, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 5, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1370218620990263296,7,1241249556683821056,sneekyn33ks,,False,29,10,"[""11638""]","[""13308"", ""13348"", ""13350"", ""13404"", ""13422""]",[],"{""fpts"": 171, ""fpts_against"": 156, ""fpts_against_decimal"": 46, ""fpts_decimal"": 10, ""losses"": 0, ""ppts"": 178, ""ppts_decimal"": 90, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 2, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
