sleeper_id,player,position,team,opponent,pts_ppr,pts_half_ppr,pts_std,stats_json
650,,K,ATL,GB,7.24,7.24,7.24,"{""adp_dd_ppr"": 999.0, ""fga"": 1.86, ""fgm"": 1.63, ""fgm_20_29"": 0.3, ""fgm_30_39"": 0.44, ""fgm_40_49"": 0.39, ""fgm_50p"": 0.25, ""fgm_yds"": 57.53, ""fgmiss_30_39"": 0.04, ""fgmiss_40_49"": 0.04, ""fgmiss_50p"": 0.08, ""gp"": 1.0, ""pos_adp_dd_ppr"": 999.0, ""pts_half_ppr"": 7.24, ""pts_ppr"": 7.24, ""pts_std"": 7.24, ""xpa"": 2.32, ""xpm"": 2.27, ""xpmiss"": 0.06}"
9484,,TE,GB,ATL,11.59,9.68,7.78,"{""adp_dd_ppr"": 70.0, ""bonus_rec_te"": 3.81, ""def_fum_td"": 0.0, ""fum"": 0.04, ""fum_lost"": 0.02, ""gp"": 1.0, ""pos_adp_dd_ppr"": 8.0, ""pts_half_ppr"": 9.68, ""pts_ppr"": 11.59, ""pts_std"": 7.78, ""rec"": 3.81, ""rec_0_4"": 0.76, ""rec_10_19"": 1.14, ""rec_20_29"": 0.76, ""rec_2pt"": 0.02, ""rec_30_39"": 0.38, ""rec_40p"": 0.38, ""rec_5_9"": 0.76, ""rec_fd"": 4.88, ""rec_td"": 0.48, ""rec_tgt"": 5.44, ""rec_yd"": 48.76}"
9509,,RB,ATL,GB,19.93,17.85,15.77,"{""adp_dd_ppr"": 7.0, ""bonus_rec_rb"": 4.15, ""def_fum_td"": 0.0, ""fum"": 0.19, ""fum_lost"": 0.08, ""gp"": 1.0, ""pos_adp_dd_ppr"": 4.0, ""pts_half_ppr"": 17.85, ""pts_ppr"": 19.93, ""pts_std"": 15.77, ""rec"": 4.15, ""rec_0_4"": 0.83, ""rec_10_19"": 1.25, ""rec_20_29"": 0.83, ""rec_2pt"": 0.01, ""rec_30_39"": 0.42, ""rec_40p"": 0.42, ""rec_5_9"": 0.83, ""rec_fd"": 3.26, ""rec_td"": 0.24, ""rec_tgt"": 5.1, ""rec_yd"": 32.58, ""rush_2pt"": 0.03, ""rush_40p"": 0.17, ""rush_att"": 18.33, ""rush_fd"": 8.53, ""rush_td"": 0.44, ""rush_yd"": 85.29}"
10212,,TE,GB,ATL,0.58,0.45,0.32,"{""adp_dd_ppr"": 355.0, ""bonus_rec_te"": 0.25, ""def_fum_td"": 0.0, ""fum"": 0.0, ""fum_lost"": 0.0, ""gp"": 1.0, ""pos_adp_dd_ppr"": 82.0, ""pts_half_ppr"": 0.45, ""pts_ppr"": 0.58, ""pts_std"": 0.32, ""rec"": 0.25, ""rec_0_4"": 0.05, ""rec_10_19"": 0.08, ""rec_20_29"": 0.05, ""rec_2pt"": 0.0, ""rec_30_39"": 0.03, ""rec_40p"": 0.03, ""rec_5_9"": 0.05, ""rec_fd"": 0.21, ""rec_td"": 0.02, ""rec_tgt"": 0.32, ""rec_yd"": 2.08}"
13320,,WR,ATL,GB,3.43,2.73,2.03,"{""adp_dd_ppr"": 214.0, ""bonus_rec_wr"": 1.41, ""def_fum_td"": 0.0, ""def_kr_td"": 0.06, ""def_kr_yd"": 35.91, ""fum"": 0.01, ""fum_lost"": 0.01, ""gp"": 1.0, ""pos_adp_dd_ppr"": 96.0, ""pr"": 0.7, ""pr_yd"": 6.91, ""pts_half_ppr"": 2.73, ""pts_ppr"": 3.43, ""pts_std"": 2.03, ""rec"": 1.41, ""rec_0_4"": 0.28, ""rec_10_19"": 0.42, ""rec_20_29"": 0.28, ""rec_2pt"": 0.0, ""rec_30_39"": 0.14, ""rec_40p"": 0.14, ""rec_5_9"": 0.28, ""rec_fd"": 1.39, ""rec_td"": 0.09, ""rec_tgt"": 1.97, ""rec_yd"": 13.94, ""rush_att"": 0.14, ""rush_fd"": 0.06, ""rush_td"": 0.0, ""rush_yd"": 0.55}"
6804,,QB,GB,ATL,16.83,16.83,16.83,"{""adp_dd_ppr"": 107.0, ""bonus_rush_td_qb"": 0.09, ""cmp_pct"": 65.64, ""def_fum_td"": 0.0, ""fum"": 0.43, ""fum_lost"": 0.19, ""gp"": 1.0, ""pass_2pt"": 0.09, ""pass_att"": 32.26, ""pass_cmp"": 21.17, ""pass_cmp_40p"": 0.43, ""pass_fd"": 23.16, ""pass_inc"": 11.09, ""pass_int"": 1.14, ""pass_int_td"": 0.0, ""pass_sack"": 2.67, ""pass_td"": 1.71, ""pass_yd"": 231.6, ""pos_adp_dd_ppr"": 15.0, ""pts_half_ppr"": 16.83, ""pts_ppr"": 16.83, ""pts_std"": 16.83, ""rush_2pt"": 0.01, ""rush_40p"": 0.03, ""rush_att"": 3.32, ""rush_fd"": 1.51, ""rush_td"": 0.09, ""rush_yd"": 15.05}"
10214,,TE,LAR,DEN,0.68,0.52,0.36,"{""adp_dd_ppr"": 353.0, ""bonus_rec_te"": 0.32, ""def_fum_td"": 0.0, ""fum"": 0.0, ""fum_lost"": 0.0, ""gp"": 1.0, ""pos_adp_dd_ppr"": 81.0, ""pts_half_ppr"": 0.52, ""pts_ppr"": 0.68, ""pts_std"": 0.36, ""rec"": 0.32, ""rec_0_4"": 0.06, ""rec_10_19"": 0.1, ""rec_20_29"": 0.06, ""rec_2pt"": 0.0, ""rec_30_39"": 0.03, ""rec_40p"": 0.03, ""rec_5_9"": 0.06, ""rec_fd"": 0.26, ""rec_td"": 0.02, ""rec_tgt"": 0.48, ""rec_yd"": 2.64}"
10225,,WR,DAL,BAL,0.44,0.37,0.29,"{""adp_dd_ppr"": 320.0, ""bonus_rec_wr"": 0.15, ""gp"": 1.0, ""pos_adp_dd_ppr"": 149.0, ""pts_half_ppr"": 0.37, ""pts_ppr"": 0.44, ""pts_std"": 0.29, ""rec"": 0.15, ""rec_0_4"": 0.03, ""rec_10_19"": 0.04, ""rec_20_29"": 0.03, ""rec_30_39"": 0.01, ""rec_40p"": 0.01, ""rec_5_9"": 0.03, ""rec_fd"": 0.24, ""rec_td"": 0.01, ""rec_tgt"": 0.36, ""rec_yd"": 2.42}"
10226,,WR,CIN,PIT,4.84,3.98,3.13,"{""adp_dd_ppr"": 187.0, ""bonus_rec_wr"": 1.71, ""def_fum_td"": 0.0, ""fum"": 0.02, ""fum_lost"": 0.01, ""gp"": 1.0, ""pos_adp_dd_ppr"": 82.0, ""pts_half_ppr"": 3.98, ""pts_ppr"": 4.84, ""pts_std"": 3.13, ""rec"": 1.71, ""rec_0_4"": 0.34, ""rec_10_19"": 0.51, ""rec_20_29"": 0.34, ""rec_2pt"": 0.01, ""rec_30_39"": 0.17, ""rec_40p"": 0.17, ""rec_5_9"": 0.34, ""rec_fd"": 2.18, ""rec_td"": 0.14, ""rec_tgt"": 2.88, ""rec_yd"": 21.83, ""rush_2pt"": 0.0, ""rush_40p"": 0.0, ""rush_att"": 0.2, ""rush_fd"": 0.08, ""rush_td"": 0.0, ""rush_yd"": 0.79}"
10234,,WR,LAC,BUF,1.61,1.28,0.95,"{""adp_dd_ppr"": 267.0, ""bonus_rec_wr"": 0.66, ""def_fum_td"": 0.0, ""def_kr_td"": 0.08, ""def_kr_yd"": 38.31, ""fum"": 0.02, ""fum_lost"": 0.01, ""gp"": 1.0, ""pos_adp_dd_ppr"": 123.0, ""pr"": 0.98, ""pr_yd"": 9.82, ""pts_half_ppr"": 1.28, ""pts_ppr"": 1.61, ""pts_std"": 0.95, ""rec"": 0.66, ""rec_0_4"": 0.13, ""rec_10_19"": 0.2, ""rec_20_29"": 0.13, ""rec_2pt"": 0.0, ""rec_30_39"": 0.07, ""rec_40p"": 0.07, ""rec_5_9"": 0.13, ""rec_fd"": 0.64, ""rec_td"": 0.04, ""rec_tgt"": 1.04, ""rec_yd"": 6.36, ""rush_2pt"": 0.0, ""rush_40p"": 0.02, ""rush_att"": 0.13, ""rush_fd"": 0.07, ""rush_td"": 0.0, ""rush_yd"": 0.66}"
