snapshot_utc,source_dt,sleeper_id,gsis_id,player,position,nfl_team,kr_rank,pr_rank,return_roles,offensive_depth_position,offensive_depth_rank,dual_role_offense_return,baseline_games,baseline_kr_yards,baseline_pr_yards,projected_kr_yards_per_game,projected_pr_yards_per_game,projected_return_td_per_game,projection_source,confidence,redraft_ecr,my_leagues,my_starting_leagues,free_agent_leagues,offensive_role_source,injury_status,practice_participation
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11624,00-0039894,Xavier Worthy,WR,KC,3,,KR,RWR,2,True,14,0.0,0.0,0.0,0.0,0.0,2025 weekly player stats,MEDIUM,129.35,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12474,00-0040583,Woody Marks,RB,HOU,3,,KR,RB,2,True,16,0.0,0.0,0.0,0.0,0.0,role-based fallback,LOW,137.25,10-Team Dynasty — Dynasty V2,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,13337,00-0041013,Emmett Johnson,RB,KC,4,,KR,RB,2,True,0,0.0,0.0,0.0,0.0,0.0,role-based fallback,LOW,189.73,10-Team Dynasty — Dynasty V2,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,13301,00-0041040,Antonio Williams,WR,WAS,,4,PR,SWR,3,True,0,0.0,0.0,0.0,0.0,0.0,role-based fallback,LOW,233.94,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8188,00-0038104,Tyquan Thornton,WR,KC,,3,PR,LWR,3,True,12,475.0,0.0,0.0,0.0,0.0,2025 weekly player stats,MEDIUM,264.9,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8122,00-0037157,Bam Knight,RB,ARI,,4,PR,RB,3,True,12,256.0,0.0,0.0,0.0,0.0,2025 weekly player stats,MEDIUM,291.97,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8917,00-0037801,KaVontae Turpin,WR,DAL,1,1,KR+PR,,,False,15,1814.0,55.0,120.9,3.7,0.0,2025 weekly player stats,HIGH,308.07,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12540,00-0040705,Chimere Dike,WR,TEN,1,1,KR+PR,,,False,17,1588.0,398.0,93.4,23.4,0.0,2025 weekly player stats,HIGH,244.36,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,13075,00-0040506,Myles Price,WR,MIN,1,1,KR+PR,,,False,16,1479.0,298.0,92.4,18.6,0.0,2025 weekly player stats,HIGH,,18-Team Chopped — Surviving the Chamber,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11650,00-0039355,Luke McCaffrey,WR,WAS,1,2,KR+PR,,,False,9,769.0,0.0,85.4,0.0,0.0,2025 weekly player stats,HIGH,319.16,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,6847,00-0036331,Devin Duvernay,WR,ARI,1,1,KR+PR,,,False,17,1069.0,231.0,62.9,13.6,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,9494,00-0038976,Marvin Mims Jr.,WR,DEN,1,1,KR+PR,,,False,15,658.0,452.0,43.9,30.1,0.0,2025 weekly player stats,HIGH,267.99,,,,none detected,Questionable,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11762,00-0039816,Anthony Gould,WR,IND,1,1,KR+PR,,,False,11,647.0,131.0,58.8,11.9,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8168,00-0038090,Skyy Moore,WR,GB,1,1,KR+PR,,,False,17,907.0,291.0,53.4,17.1,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11320,00-0038519,Nikko Remigio,WR,KC,1,1,KR+PR,,,False,14,741.0,191.0,52.9,13.6,0.0,2025 weekly player stats,HIGH,,,,,none detected,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,7720,00-0036842,Kene Nwangwu,RB,NYJ,1,,KR,,,False,10,604.0,0.0,60.4,0.0,0.0,2025 weekly player stats,HIGH,356.5,,,,none detected,,
