league_id,league,league_type,player_id,player,position,nfl_team,roster_state,cut_score,cut_tier,depth_chart_order,injury_status,external_rostered_leagues,recent_adds,recent_drops,reasons,league_rank,consensus_ecr,consensus_rank_type,consensus_owned_avg,consensus_scrape_date,quality_source
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,11435,Emanuel Wilson,RB,SEA,BENCH,5.0,HOLD,3,Questionable,2,0,0,consensus ECR 250.93 protected | strong cross-league market demand | surplus RB depth,9,250.93,dsf,3.8,2026-08-28,FantasyPros consensus via DynastyProcess
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,9757,Kendre Miller,RB,NO,BENCH,5.0,HOLD,2,Questionable,1,0,0,consensus ECR 283.67 protected | surplus RB depth,10,283.67,dsf,3.5,2026-08-28,FantasyPros consensus via DynastyProcess
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,6826,Cole Kmet,TE,CHI,BENCH,3.0,HOLD,2,,1,1,0,consensus ECR 242.5 protected | surplus TE depth,11,242.5,dsf,4.1,2026-08-28,FantasyPros consensus via DynastyProcess
1370218620990263296,12-Team Dynasty — One League to Rule Them All,dynasty,5045,Courtland Sutton,WR,DEN,BENCH,0,HOLD,2,,3,0,0,consensus ECR 112.36 protected | strong cross-league market demand | surplus WR depth,12,112.36,dsf,88.5,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,13353,Chris Brazzell,WR,CAR,TAXI,17.3,HOLD,10,IR,1,0,0,consensus ECR 202.85 protected | buried on depth chart | surplus WR depth | young dynasty asset protected | inactive,1,202.85,dsf,7.6,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,13282,Jack Endries,TE,CIN,TAXI,7.2,HOLD,4,,1,0,0,consensus ECR 311.4 protected | buried on depth chart | surplus TE depth | young dynasty asset protected,2,311.4,dsf,2.4,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,12544,LeQuint Allen,RB,JAX,BENCH,3.7,HOLD,3,Questionable,1,0,0,consensus ECR 287.55 protected | surplus RB depth | young dynasty asset protected,3,287.55,dsf,2.2,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,7547,Amon-Ra St. Brown,WR,DET,START,0,HOLD,1,,3,0,0,consensus ECR 15.14 protected | starter protected | strong cross-league market demand | surplus WR depth,4,15.14,dsf,99.8,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,13272,Carson Beck,QB,ARI,TAXI,0,HOLD,3,,1,0,0,consensus ECR 148.25 protected | young dynasty asset protected,5,148.25,dsf,7.2,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,10219,Chris Rodriguez,RB,JAX,BENCH,0,HOLD,2,,3,1,1,consensus ECR 187.57 protected | strong cross-league market demand | surplus RB depth,6,187.57,dsf,44.8,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,7594,Chuba Hubbard,RB,CAR,BENCH,0,HOLD,1,Questionable,3,0,0,consensus ECR 145.93 protected | strong cross-league market demand | surplus RB depth,7,145.93,dsf,85.9,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,10222,Jayden Reed,WR,GB,BENCH,0,HOLD,2,,3,0,0,consensus ECR 120.21 protected | strong cross-league market demand | surplus WR depth,8,120.21,dsf,78.2,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,7527,Mac Jones,QB,SF,BENCH,0,HOLD,2,,1,0,0,consensus ECR 142.14 protected | roster-value hold,9,142.14,dsf,2.4,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,12492,Pat Bryant,WR,DEN,BENCH,0,HOLD,3,,2,0,0,consensus ECR 175.29 protected | strong cross-league market demand | surplus WR depth | young dynasty asset protected,10,175.29,dsf,7.5,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,7571,Rashod Bateman,WR,BAL,BENCH,0,HOLD,2,,2,0,0,consensus ECR 227 protected | strong cross-league market demand | surplus WR depth,11,227.0,dsf,7.0,2026-08-28,FantasyPros consensus via DynastyProcess
1366076769534251008,10-Team Dynasty — Dynasty V2,dynasty,12474,Woody Marks,RB,HOU,BENCH,0,HOLD,2,,2,0,0,consensus ECR 176 protected | strong cross-league market demand | surplus RB depth | young dynasty asset protected,12,176.0,dsf,50.7,2026-08-28,FantasyPros consensus via DynastyProcess
