league_id,league,roster_id,is_my_roster,player_id,player,position,nfl_team,opponent,home_away,gameday,gametime,total_line,roof,temp,wind,lineup_score,score_source,weekly_ecr,season_ecr,weekly_grade,injury_status,practice_participation,injury_note,depth_chart_order,weather_note,base_lineup_score_before_league_scoring,generic_weekly_projection,sleeper_league_projection_nonreturn,league_scoring_context_adjustment,questionable_penalty_restored,league_projection_matched_stats,base_lineup_score_before_idp,idp_points_applied,idp_source_season,idp_current_season_data,base_lineup_score_before_usage,usage_points_applied,usage_season,usage_signal,usage_latest_week,usage_games_with_stats,usage_games_with_snaps,latest_offense_snap_pct,last3_offense_snap_pct,season_offense_snap_pct,last3_targets_pg,last3_carries_pg,last3_opportunities_pg,usage_adjustment_raw,base_lineup_score_before_ol,ol_points_applied,ol_health_score,ol_grade,ol_concerns,team_pass_ol_adjustment,team_run_ol_adjustment,legacy_weather_points_removed,base_lineup_score_before_weather,weather_points_applied,weather_severity,weather_notes,forecast_temp_f,forecast_wind_mph,forecast_gust_mph,forecast_precip_probability,forecast_source,base_lineup_score_before_injury_ripple,injury_ripple_points_applied,injury_ripple_reasons,injury_ripple_confidence,base_lineup_score_before_return,return_projection_points,return_points_applied,return_roles,return_confidence,dual_role_offense_return,offensive_depth_rank
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,4037,Chris Godwin,WR,TB,MIN,home,2026-09-27,16:05,42.5,outdoors,,,9.99,Sleeper raw-stat projection × league scoring + current usage,38.0,67.33,C,,,,2,,10.1,10.8,10.16,-0.7,0.0,10,,,,,9.46,0.53,2026,STABLE,2,2,2,86.0,86.0,86.0,3.5,1.0,3.5,2.0,9.99,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,9.99,0.0,LOW,no material weather signal,83.3,3.8,4.7,0.0,Open-Meteo game-time forecast,9.99,0.0,,,9.99,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,5189,Eddy Pineiro,K,SF,ARI,home,2026-09-27,16:05,47.5,outdoors,,,9.0,Sleeper raw-stat projection × league scoring,3.13,203.83,B+,,,,1,,9.6,9.1,8.5,0.5,0.0,6,,,,,9.0,0.0,,,,,,,,,,,,,9.0,0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,9.0,0.0,LOW,no material weather signal,66.8,7.8,10.3,1.0,Open-Meteo game-time forecast,9.0,0.0,,,9.0,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,5872,Deebo Samuel,WR,SF,ARI,home,2026-09-27,16:05,47.5,outdoors,,,12.2,Sleeper raw-stat projection × league scoring + current usage + injury ripple,26.6,77.83,B,,,,2,,11.1,11.8,12.14,-0.7,0.0,10,,,,,11.44,0.26,2026,STABLE,2,2,2,60.0,51.0,51.0,5.5,1.0,5.5,1.0,11.7,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,11.7,0.0,LOW,no material weather signal,66.8,7.8,10.3,1.0,Open-Meteo game-time forecast,11.7,0.5,WR1 QUESTIONABLE/DNP: target concentration rises for next WR,HIGH,12.2,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,5927,Terry McLaurin,WR,WAS,SEA,home,2026-09-27,13:00,40.5,outdoors,,,12.13,Sleeper raw-stat projection × league scoring + current usage + OL health + injury ripple,35.57,57.33,C+,,,,1,,11.5,11.0,11.0,0.5,0.0,10,,,,,11.5,0.53,2026,STABLE,2,2,2,70.0,78.5,78.5,6.5,0.0,6.5,2.0,12.03,-0.1,81.5,MINOR CONCERN,RG Sam Cosmi (UNAVAILABLE),-0.25,-0.45,-0.0,11.93,0.0,LOW,no material weather signal,68.5,13.6,24.8,28.0,Open-Meteo game-time forecast,11.93,0.2,Starting safety OUT/IR: downfield coverage improves | QB1 OUT/IR: pass-catcher efficiency risk with backup QB | TE1 OUT/IR: WR1 target share can rise,MEDIUM,12.13,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,6806,J.K. Dobbins,RB,DEN,LAR,home,2026-09-27,20:20,44.5,outdoors,,,12.42,Sleeper raw-stat projection × league scoring + current usage + game-time weather,38.05,141.67,C-,,,,1,,9.1,8.6,11.71,0.5,0.0,10,,,,,12.21,0.26,2026,STABLE,2,2,2,34.0,38.5,38.5,0.0,9.0,9.0,1.0,12.47,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,12.47,-0.05,MODERATE,wind 15 mph,83.4,15.4,23.7,3.0,Open-Meteo game-time forecast,12.42,0.0,,,12.42,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,7547,Amon-Ra St. Brown,WR,DET,NYJ,home,2026-09-27,13:00,48.5,dome,,,22.63,Sleeper raw-stat projection × league scoring + current usage + injury ripple,2.02,6.83,A+,,,,1,,21.4,20.9,20.68,0.5,0.0,10,,,,,21.18,1.05,2026,STABLE,2,2,2,95.0,92.5,92.5,13.5,0.0,13.5,4.0,22.23,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,22.23,0.0,INDOOR,indoor,,,,,indoor/no weather adjustment,22.23,0.4,Starting safety OUT/IR: downfield coverage improves,MEDIUM,22.63,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,8138,James Cook,RB,BUF,LAC,home,2026-09-27,13:00,50.5,outdoors,,,19.7,Sleeper raw-stat projection × league scoring + current usage + injury ripple,8.38,9.83,A,,,,1,,17.8,16.7,17.36,1.1,0.0,10,,,,,18.46,0.79,2026,STABLE,2,2,2,74.0,73.0,73.0,3.5,17.0,20.5,3.0,19.25,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,19.25,0.0,LOW,no material weather signal,65.4,14.2,21.9,4.0,Open-Meteo game-time forecast,19.25,0.45,Starting interior DL OUT/IR: rushing matchup improves,MEDIUM,19.7,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,8183,Brock Purdy,QB,SF,ARI,home,2026-09-27,16:05,47.5,outdoors,,,27.77,Sleeper raw-stat projection × league scoring + current usage,3.39,65.17,A,,,,1,,22.7,22.2,27.01,0.5,0.0,10,,,,,27.51,0.26,2026,STABLE,2,2,2,85.0,92.5,92.5,0.0,4.0,0.0,2.0,27.77,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,27.77,0.0,LOW,no material weather signal,66.8,7.8,10.3,1.0,Open-Meteo game-time forecast,27.77,0.0,,,27.77,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,8408,Jordan Mason,RB,MIN,TB,away,2026-09-27,16:05,42.5,outdoors,,,0.22,season-long ECR proxy + current usage + OL health,,167.83,,IR,,IR/PUP,7,,,,,,,,,,,,0.0,0.32,2026,STABLE,1,1,1,45.0,45.0,45.0,0.0,15.0,15.0,2.0,0.32,-0.1,90.0,HEALTHY,LT Christian Darrisaw (AT RISK),-0.35,-0.11,-0.0,0.22,0.0,LOW,no material weather signal,83.3,3.8,4.7,0.0,Open-Meteo game-time forecast,0.22,0.0,,,0.22,0.0,0.0,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,False,9486,Dontayvion Wicks,WR,PHI,CHI,away,2026-09-28,20:15,41.5,outdoors,,,10.25,Sleeper raw-stat projection × league scoring + current usage + injury ripple,35.95,109.17,C+,,,,2,,10.3,11.0,9.92,-0.7,0.0,10,,,,,9.22,0.53,2026,STABLE,2,2,2,62.0,76.5,76.5,5.0,0.0,5.0,2.0,9.75,-0.0,100.0,HEALTHY,none,-0.0,-0.0,-0.0,9.75,0.0,LOW,no material weather signal,65.3,5.3,7.2,0.0,Open-Meteo game-time forecast,9.75,0.5,WR1 QUESTIONABLE/DNP: target concentration rises for next WR,HIGH,10.25,0.0,0.0,,,,
