snapshot_utc,source_dt,team,slot,starter,sleeper_id,depth_rank,health_bucket,risk_weight,status_detail,official_injury_report_available
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,IND,RT,Jalen Travis,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,JAX,LT,Anton Harrison,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,JAX,LG,Emmanuel Pregnon,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,JAX,C,Robert Hainsey,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,JAX,RG,Ezra Cleveland,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,JAX,RT,Walker Little,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,KC,LT,Josh Simmons,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,KC,LG,Kingsley Suamataia,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,KC,C,Creed Humphrey,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,KC,RG,Trey Smith,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,KC,RT,Kahlil Benson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LAC,LT,Rashawn Slater,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LAC,LG,Kayode Awosika,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LAC,C,Jake Slaughter,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LAC,RG,Cole Strange,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LAC,RT,Joe Alt,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LAR,LT,Alaric Jackson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LAR,LG,Steve Avila,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LAR,C,Coleman Shelton,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LAR,RG,Kevin Dotson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LAR,RT,Warren McClendon Jr.,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LV,LT,Kolton Miller,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LV,LG,Spencer Burford,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LV,C,Tyler Linderbaum,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LV,RG,Jackson Powers-Johnson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,LV,RT,DJ Glaze,,1,UNMAPPED,0.15,,False
