snapshot_utc,league_id,roster_id,owner_id,is_my_roster,player_id,full_name,position,fantasy_positions,nfl_team,status,injury_status,injury_body_part,practice_participation,practice_description,depth_chart_position,depth_chart_order,active,starter,reserve,taxi
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,5850,Josh Jacobs,RB,"[""RB""]",GB,Active,DNR,Groin,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,5967,Tony Pollard,RB,"[""RB""]",TEN,Active,,,,,RB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,7594,Chuba Hubbard,RB,"[""RB""]",CAR,Active,Questionable,Hamstring,,,RB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,8126,Wan'Dale Robinson,WR,"[""WR""]",TEN,Active,Questionable,Head,,,SWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,8136,Rachaad White,RB,"[""RB""]",WAS,Active,Questionable,Undisclosed,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,9493,Puka Nacua,WR,"[""WR""]",LAR,Active,Questionable,Undisclosed,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,9756,Jordan Addison,WR,"[""WR""]",MIN,Active,,,,,RWR,2,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,9997,Zay Flowers,WR,"[""WR""]",BAL,Active,Questionable,Undisclosed,,,SWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,7,996128808304558080,False,BAL,Baltimore Ravens,DEF,"[""DEF""]",BAL,,,,,,,,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,11539,Jake Bates,K,"[""K""]",DET,Active,,,,,K,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,11560,Caleb Williams,QB,"[""QB""]",CHI,Active,,,,,QB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,11563,Bo Nix,QB,"[""QB""]",DEN,Active,,,,,QB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,12501,Matthew Golden,WR,"[""WR""]",GB,Active,,,,,RWR,3,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,12514,Emeka Egbuka,WR,"[""WR""]",TB,Active,Questionable,Undisclosed,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,12518,Tyler Warren,TE,"[""TE""]",IND,Active,Questionable,Groin,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,12534,Kyle Monangai,RB,"[""RB""]",CHI,Active,Questionable,Knee,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,13287,Jeremiyah Love,RB,"[""RB""]",ARI,Active,Questionable,Ankle,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,5045,Courtland Sutton,WR,"[""WR""]",DEN,Active,,,,,LWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,5947,Jakobi Meyers,WR,"[""WR""]",JAX,Active,Questionable,Hand,,,RWR,3,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,6786,CeeDee Lamb,WR,"[""WR""]",DAL,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,6794,Justin Jefferson,WR,"[""WR""]",MIN,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,8150,Kyren Williams,RB,"[""RB""]",LAR,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,9484,Tucker Kraft,TE,"[""TE""]",GB,Active,Questionable,Knee - ACL,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,8,997245852273930240,False,LAR,Los Angeles Rams,DEF,"[""DEF""]",LAR,,,,,,,,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,10236,Dalton Kincaid,TE,"[""TE""]",BUF,Active,,,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,10859,Sam LaPorta,TE,"[""TE""]",DET,Active,Questionable,Hip,,,TE,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,11635,Ladd McConkey,WR,"[""WR""]",LAC,Active,,,,,SWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,12489,RJ Harvey,RB,"[""RB""]",DEN,Active,,,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,12490,Bhayshul Tuten,RB,"[""RB""]",JAX,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,3451,Ka'imi Fairbairn,K,"[""K""]",HOU,Active,,,,,K,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,4037,Chris Godwin,WR,"[""WR""]",TB,Active,,,,,SWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,4199,Aaron Jones,RB,"[""RB""]",MIN,Active,,,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,4984,Josh Allen,QB,"[""QB""]",BUF,Active,,,,,QB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,5846,DK Metcalf,WR,"[""WR""]",PIT,Active,Questionable,Undisclosed,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,6813,Jonathan Taylor,RB,"[""RB""]",IND,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,8121,Romeo Doubs,WR,"[""WR""]",NE,Active,,,,,RWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,8144,Chris Olave,WR,"[""WR""]",NO,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,8155,Breece Hall,RB,"[""RB""]",NYJ,Active,Questionable,Thigh,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,9,1008988929109843968,False,MIN,Minnesota Vikings,DEF,"[""DEF""]",MIN,,,,,,,,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,11586,Blake Corum,RB,"[""RB""]",LAR,Active,,,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,10,594991759398850560,False,11620,Rome Odunze,WR,"[""WR""]",CHI,Active,,,,,LWR,1,True,False,False,False
