league_id,league,sleeper_id,player,position,nfl_team,return_roles,dual_role_offense_return,return_projection_points,confidence,roster_state,offensive_depth_rank,offensive_depth_position,offensive_role_source,injury_status,practice_participation
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,5096,Ray-Ray McCloud,WR,CHI,KR+PR,True,0.0,MEDIUM,PREDRAFT,3,RWR,Sleeper depth chart,IR,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,7021,Rico Dowdle,RB,PIT,KR+PR,True,0.0,MEDIUM,PREDRAFT,2,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8195,Ronnie Rivers,RB,LAR,KR,True,0.0,MEDIUM,PREDRAFT,3,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,4147,Samaje Perine,RB,CIN,KR,True,0.0,HIGH,PREDRAFT,2,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,9506,Sean Tucker,RB,TB,KR,True,0.0,MEDIUM,PREDRAFT,3,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12543,Tahj Brooks,RB,CIN,KR,True,0.0,MEDIUM,PREDRAFT,3,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,9225,Tank Bigsby,RB,PHI,KR,True,0.0,MEDIUM,PREDRAFT,2,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,10213,Tre Tucker,WR,LV,KR+PR,True,0.0,HIGH,PREDRAFT,1,RWR,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,6039,Ty Johnson,RB,BUF,KR,True,0.0,MEDIUM,PREDRAFT,2,RB,Sleeper depth chart,Questionable,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8188,Tyquan Thornton,WR,KC,PR,True,0.0,MEDIUM,PREDRAFT,3,LWR,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11655,Tyrone Tracy Jr.,RB,NYG,KR,True,0.0,MEDIUM,PREDRAFT,2,RB,Sleeper depth chart,Questionable,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11577,Will Shipley,RB,PHI,KR,True,0.0,HIGH,PREDRAFT,3,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,12474,Woody Marks,RB,HOU,KR,True,0.0,LOW,PREDRAFT,2,RB,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11624,Xavier Worthy,WR,KC,KR,True,0.0,MEDIUM,PREDRAFT,2,RWR,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13320,Zachariah Branch,WR,ATL,KR+PR,True,0.0,MEDIUM,PREDRAFT,3,SWR,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13411,Zavion Thomas,WR,CHI,KR+PR,True,0.0,MEDIUM,PREDRAFT,3,SWR,Sleeper depth chart,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13302,Adam Randall,RB,BAL,KR,False,0.0,LOW,PREDRAFT,,,none detected,IR,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11762,Anthony Gould,WR,IND,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,6427,Ashton Dulin,WR,IND,PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13533,Barion Brown,WR,NO,KR+PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,13380,Brenen Thompson,WR,LAC,PR,False,0.0,LOW,PREDRAFT,,,none detected,Questionable,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,8414,Britain Covey,WR,PHI,KR+PR,False,0.0,HIGH,PREDRAFT,,,none detected,,
1359546418284494848,12-Team 2-Keeper — League Is Rigged V2,11157,Brycen Tremayne,WR,CAR,PR,False,0.0,MEDIUM,PREDRAFT,,,none detected,,
