league_id,roster_id,is_my_roster,player_id,player,position,nfl_team,keeper_round,keeper_cost_source,redraft_ecr,market_round,round_surplus,keeper_value_score,idp_projection_proxy
1359546418284494848,7,False,11687,Edgerrin Cooper,LB,GB,17,draft round,26.0,3,14,104.7,13.77
1359546418284494848,9,False,6815,Zack Baun,LB,PHI,16,draft round,14.44,2,14,104.5,13.69
1359546418284494848,2,False,7016,Jeremy Chinn,DB,LV,17,draft round,46.89,4,13,99.0,14.01
1359546418284494848,11,False,2393,Danielle Hunter,DE,HOU,17,draft round,59.56,5,12,92.2,10.62
1359546418284494848,8,False,7648,Nick Bolton,LB,KC,13,draft round,13.11,2,11,91.0,18.83
1359546418284494848,10,False,13375,Sonny Styles,LB,WAS,13,draft round,26.89,3,10,82.8,
1359546418284494848,1,True,11564,Drake Maye,QB,NE,14,known override,37.1,4,10,82.0,
1359546418284494848,11,False,11705,Tykee Smith,DB,TB,14,draft round,30.67,3,11,80.4,9.62
1359546418284494848,3,False,4081,Budda Baker,DB,ARI,13,draft round,38.11,4,9,74.3,13.53
1359546418284494848,1,True,10949,Chamarri Conner,DB,KC,15,draft round,65.67,6,9,74.1,13.41
1359546418284494848,2,False,5041,Fred Warner,LB,SF,9,draft round,9.33,1,8,73.0,16.8
1359546418284494848,3,False,6949,Jordyn Brooks,LB,MIA,9,draft round,1.67,1,8,73.0,18.28
1359546418284494848,4,False,5332,Foyesade Oluokun,LB,JAX,9,draft round,9.33,1,8,71.5,15.64
1359546418284494848,9,False,12578,Carson Schwesinger,LB,CLE,8,draft round,3.56,1,7,67.0,17.59
1359546418284494848,2,False,5840,Josh Hines-Allen,DE,JAX,15,draft round,80.8,7,8,66.5,9.1
1359546418284494848,12,False,7136,Kam Curl,DB,LAR,12,draft round,38.78,4,8,66.3,12.2
1359546418284494848,6,False,2227,Aaron Donald,DT,LAR,16,draft round,91.67,8,8,65.7,
1359546418284494848,9,False,8142,Alec Pierce,WR,IND,17,draft round,100.28,9,8,65.0,
1359546418284494848,6,False,4971,Derwin James,DB,LAC,10,draft round,27.11,3,7,63.3,14.19
1359546418284494848,12,False,4960,Roquan Smith,LB,BAL,8,draft round,5.89,1,7,62.3,13.52
1359546418284494848,6,False,6819,Michael Pittman,WR,PIT,14,draft round,81.63,7,7,60.5,
1359546418284494848,6,False,5991,Maxx Crosby,DE,LV,8,draft round,21.22,2,6,59.3,17.39
1359546418284494848,10,False,4892,Baker Mayfield,QB,TB,17,draft round,118.46,10,7,57.5,
1359546418284494848,10,False,8392,Nick Cross,DB,WAS,9,draft round,29.44,3,6,56.8,13.88
1359546418284494848,1,True,10880,Jack Campbell,LB,DET,6,draft round,2.78,1,5,55.0,20.39
1359546418284494848,7,False,8339,Kyle Hamilton,DB,BAL,9,draft round,24.11,3,6,53.9,11.91
1359546418284494848,4,False,11563,Bo Nix,QB,DEN,15,draft round,98.53,9,6,53.1,
1359546418284494848,9,False,12508,Jaxson Dart,QB,NYG,15,draft round,98.35,9,6,53.1,
1359546418284494848,10,False,5947,Jakobi Meyers,WR,JAX,15,draft round,107.87,9,6,52.4,
1359546418284494848,11,False,10917,Byron Young,LB,LAR,13,draft round,77.33,7,6,51.7,10.46
1359546418284494848,6,False,8267,Nakobe Dean,LB,LV,9,draft round,47.89,4,5,50.9,13.94
1359546418284494848,10,False,10892,Will Anderson,DL,HOU,8,draft round,16.33,2,6,49.8,9.2
1359546418284494848,11,False,6797,Justin Herbert,QB,LAC,11,draft round,71.81,6,5,49.3,
1359546418284494848,10,False,3973,Myles Garrett,DE,LAR,5,draft round,9.44,1,4,48.2,10.2
1359546418284494848,12,False,13377,Arvell Reese,LB,NYG,13,draft round,90.75,8,5,47.7,
1359546418284494848,9,False,3233,Kevin Byard,DB,NE,10,draft round,56.56,5,5,47.2,11.46
1359546418284494848,12,False,1466,Travis Kelce,TE,KC,14,draft round,98.18,9,5,47.1,
1359546418284494848,10,False,12526,Tetairoa McMillan,WR,CAR,7,draft round,35.88,3,4,46.1,
1359546418284494848,7,False,5816,Nick Bosa,DE,SF,8,draft round,41.0,4,4,45.7,14.17
1359546418284494848,12,False,4199,Aaron Jones,RB,MIN,15,draft round,117.76,10,5,45.6,
1359546418284494848,10,False,8289,Aidan Hutchinson,DL,DET,6,draft round,19.33,2,4,45.5,14.3
1359546418284494848,12,False,8134,Khalil Shakir,WR,BUF,16,draft round,122.63,11,5,45.2,
1359546418284494848,11,False,12518,Tyler Warren,TE,IND,9,draft round,53.36,5,4,44.7,
1359546418284494848,4,False,4037,Chris Godwin,WR,TB,11,draft round,74.37,7,4,43.1,
1359546418284494848,1,True,8228,Jaylen Warren,RB,PIT,11,draft round,74.43,7,4,43.0,
1359546418284494848,8,False,7523,Trevor Lawrence,QB,JAX,11,draft round,76.37,7,4,42.9,
1359546418284494848,8,False,8126,Wan'Dale Robinson,WR,TEN,12,draft round,85.64,8,4,42.1,
1359546418284494848,1,True,9754,Quentin Johnston,WR,LAC,12,draft round,93.76,8,4,41.5,
1359546418284494848,11,False,2449,Stefon Diggs,WR,WAS,12,draft round,93.69,8,4,41.5,
1359546418284494848,2,False,8137,George Pickens,WR,DAL,5,draft round,20.43,2,3,41.4,
1359546418284494848,8,False,6183,Andrew Van Ginkel,LB,MIN,9,draft round,70.86,6,3,40.4,14.93
1359546418284494848,5,False,10898,Tuli Tuipulotu,DL,LAC,11,draft round,90.17,8,3,38.4,13.57
1359546418284494848,9,False,6125,Jeffery Simmons,DT,TEN,9,draft round,64.14,6,3,37.9,15.03
1359546418284494848,5,False,8144,Chris Olave,WR,NO,4,draft round,17.37,2,2,35.6,
1359546418284494848,12,False,9226,De'Von Achane,RB,MIA,4,draft round,21.49,2,2,35.3,
1359546418284494848,7,False,7594,Chuba Hubbard,RB,CAR,12,draft round,99.84,9,3,35.0,
1359546418284494848,6,False,11581,MarShawn Lloyd,RB,GB,12,draft round,106.21,9,3,34.5,
1359546418284494848,5,False,12514,Emeka Egbuka,WR,TB,6,draft round,40.74,4,2,33.7,
