player_id,full_name,position,nfl_team,active,status,injury_status,practice_participation,depth_chart_position,depth_chart_order,league_1389740418316374016,league_1370453762442797056,league_1370218620990263296,league_1366076769534251008,league_1359546418284494848,free_agent_leagues,rostered_leagues,my_leagues,my_start_leagues,opponent_leagues,multi_league_free_agent,rostered_somewhere_free_somewhere
4017,Deshaun Watson,QB,CLE,True,Active,,,QB,1,FA,FA,OWNED,BENCH,PREDRAFT,2,2,1,0,0,True,True
2306,Jameis Winston,QB,NYG,True,Active,,,QB,2,FA,FA,BENCH,OWNED,PREDRAFT,2,2,1,0,0,True,True
1166,Kirk Cousins,QB,LV,True,Active,,,QB,1,FA,FA,BENCH,OWNED,PREDRAFT,2,2,1,0,0,True,True
7527,Mac Jones,QB,SF,True,Active,,,QB,2,FA,FA,OWNED,BENCH,PREDRAFT,2,2,1,0,0,True,True
9757,Kendre Miller,RB,NO,True,Active,Questionable,,RB,2,FA,OWNED,BENCH,FA,PREDRAFT,2,2,1,0,0,True,True
10235,Roschon Johnson,RB,CHI,True,Active,,,RB,3,FA,FA,OWNED,BENCH,PREDRAFT,2,2,1,0,0,True,True
6826,Cole Kmet,TE,CHI,True,Active,,,TE,2,FA,FA,BENCH,OWNED,PREDRAFT,2,2,1,0,0,True,True
13421,Eli Raridon,TE,NE,True,Active,,,TE,2,FA,FA,OWNED,TAXI,PREDRAFT,2,2,1,0,0,True,True
13349,Eli Stowers,TE,PHI,True,Active,Questionable,,TE,2,FA,FA,OWNED,TAXI,PREDRAFT,2,2,1,0,0,True,True
8172,Greg Dulcich,TE,MIA,True,Active,,,TE,1,FA,BENCH,OWNED,FA,PREDRAFT,2,2,1,0,0,True,True
13282,Jack Endries,TE,CIN,True,Active,,,TE,4,FA,FA,OWNED,TAXI,PREDRAFT,2,2,1,0,0,True,True
13533,Barion Brown,WR,NO,True,Active,,,SWR,4,FA,BENCH,OWNED,FA,PREDRAFT,2,2,1,0,0,True,True
9502,Tank Dell,WR,HOU,True,Inactive,IR,,SWR,5,FA,FA,IR,OWNED,PREDRAFT,2,2,1,0,0,True,True
PHI,Philadelphia Eagles,DEF,PHI,True,,,,,,START,FA,FA,FA,PREDRAFT,3,1,1,1,0,True,True
12494,Kyle McCord,QB,MIA,True,Active,,,QB,3,FA,FA,BENCH,FA,PREDRAFT,3,1,1,0,0,True,True
5995,Justice Hill,RB,BAL,True,Active,,,RB,2,FA,FA,BENCH,FA,PREDRAFT,3,1,1,0,0,True,True
13342,John Michael Gyllenborg,TE,KC,True,Inactive,IR,,TE,5,FA,FA,TAXI,FA,PREDRAFT,3,1,1,0,0,True,True
9481,Luke Musgrave,TE,GB,True,Active,PUP,,TE,4,FA,FA,IR,FA,PREDRAFT,3,1,1,0,0,True,True
13075,Myles Price,WR,MIN,True,Active,,,SWR,6,FA,START,FA,FA,PREDRAFT,3,1,1,1,0,True,True
4892,Baker Mayfield,QB,TB,True,Active,,,QB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
11563,Bo Nix,QB,DEN,True,Active,,,QB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8183,Brock Purdy,QB,SF,True,Active,,,QB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
11560,Caleb Williams,QB,CHI,True,Active,,,QB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
11564,Drake Maye,QB,NE,True,Active,,,QB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
6904,Jalen Hurts,QB,PHI,True,Active,,,QB,1,OPP,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,1,False,False
3163,Jared Goff,QB,DET,True,Active,,,QB,1,OWNED,OWNED,OPP,OWNED,PREDRAFT,0,4,0,0,1,False,False
12508,Jaxson Dart,QB,NYG,True,Active,,,QB,1,OPP,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,1,False,False
6804,Jordan Love,QB,GB,True,Active,,,QB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
4984,Josh Allen,QB,BUF,True,Active,,,QB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
4881,Lamar Jackson,QB,BAL,True,Active,,,QB,1,OWNED,OWNED,OPP,OWNED,PREDRAFT,0,4,0,0,1,False,False
421,Matthew Stafford,QB,LAR,True,Active,,,QB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
4046,Patrick Mahomes,QB,KC,True,Active,Questionable,,QB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
7523,Trevor Lawrence,QB,JAX,True,Active,,,QB,1,OWNED,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,1,False,False
12490,Bhayshul Tuten,RB,JAX,True,Active,Questionable,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
9509,Bijan Robinson,RB,ATL,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
11586,Blake Corum,RB,LAR,True,Active,,,RB,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8155,Breece Hall,RB,NYJ,True,Active,Questionable,,RB,1,OWNED,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,1,False,False
12481,Cam Skattebo,RB,NYG,True,Active,,,RB,1,OPP,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,2,False,False
4034,Christian McCaffrey,RB,SF,True,Active,Questionable,,RB,1,OWNED,OWNED,OPP,OWNED,PREDRAFT,0,4,0,0,1,False,False
5892,David Montgomery,RB,HOU,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
3198,Derrick Henry,RB,BAL,True,Active,,,RB,1,OWNED,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,1,False,False
6806,J.K. Dobbins,RB,DEN,True,Active,,,RB,1,OWNED,OWNED,OWNED,OPP,PREDRAFT,0,4,0,0,1,False,False
13286,Jadarian Price,RB,SEA,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
9221,Jahmyr Gibbs,RB,DET,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8138,James Cook,RB,BUF,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
7588,Javonte Williams,RB,DAL,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8228,Jaylen Warren,RB,PIT,True,Active,,,RB,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
13287,Jeremiyah Love,RB,ARI,True,Active,Questionable,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8408,Jordan Mason,RB,MIN,True,Active,,,RB,2,OWNED,OWNED,OPP,OWNED,PREDRAFT,0,4,0,0,1,False,False
5850,Josh Jacobs,RB,GB,True,Active,NA,,RB,4,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
7567,Kenny Gainwell,RB,TB,True,Active,,,RB,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
12534,Kyle Monangai,RB,CHI,True,Active,Questionable,,RB,2,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
8150,Kyren Williams,RB,LAR,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
11581,MarShawn Lloyd,RB,GB,True,Active,,,RB,1,OWNED,OWNED,OWNED,OWNED,PREDRAFT,0,4,0,0,0,False,False
